DealerName,Alias,Object,Note
James Campbell Consulting LLC,James Campbell Consulting,Customer,"Same organization spelled two ways. The bare form appears on Customer Dealer_Name__c only (1 record); the LLC form on Solar Sales_Company_Harmon_Solar_or_Third__c only (5 records). Merge approved by Tim 2026-08-27; canonical is the fuller spelling."
Blue Sky Solar,Blue Sky,Solar,"Same organization spelled two ways, both on Solar Sales_Company_Harmon_Solar_or_Third__c (12 and 1 records). docs/integrations/dealer-vendor-map.csv already carries both as deliberate aliases of Acumatica vendor 01736 (Blue Sky Solar LLC) under D-060. Merge approved by Tim 2026-08-27; canonical is the fuller spelling."
Residential Solar Brokers,Residental Solar Brokers,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16. Misspelling of the dealer name."
I Am Energy Group,I AM ENERGY,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Azray Solar LLC,AZray Solar,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Machometa Enterprises,Machometa,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Blueberry Hill Co LLC,Blueberry Hill,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Solar4Les,Solar 4 Les,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Alternative Energy,Alternative Energy AZ,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Sunus Technologies,Sunus,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Solar Specialist LLC,Solar Specialists,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Solar Buddy AZ,Solar Buddy,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Sonoran Solar - Jared Alberts,Sonoran Solar,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16."
Valley Energy Consultants,Valley Energy Consoltants,User,"User-name alias of a dealer organization imported from Sunbase as a Sundial_User__c; lets that user be stamped with its dealer so its deals resolve through A1. Approved by Tim 2026-09-16. Misspelling of the dealer name."
